Year,TractCE,"1,1,2-Trichloroethane","1,1,2,2-Tetrachloroethane","1,2-Ethanediol (Ethylene Glycol)","1,3-Butadiene","1,4-Dichlorobenzene","1,4-Dioxane (1,4-Diethyleneoxide)","2,2,4-Trimethylpentane",Acetaldehyde,Acrolein,Acrylic Acid,Acrylonitrile,Ammonia,Antimony,Arsenic,Benzene,Cadmium,Carbon Dioxide,Carbon Disulfide,Carbon Monoxide,Carbon Tetrachloride,Chlorine,Chlorobenzene,Chloroethene (vinyl chloride),Chloroform,Chromium,Cobalt,Cresols/Cresylic Acid (Isomers And Mixture),Cyanides,Dibutylphthalate,Ethyl Chloride (Chloroethane),Ethylbenzene,"Ethylene Dichloride (1,2-Dichloroethane)",Ethylene Oxide,"Ethylidene Dichloride (1,1-Dichloroethane)",Formaldehyde,Glycol Ethers,Hexane,Hexavalent Chromium,Hydrochloric Acid,Hydrogen Fluoride (Hydrofluoric Acid),Hydrogen Sulfide,Isophorone,Lead,m-Xylene,Maleic Anhydride,Manganese,Mercury,Methane,Methanol,Methyl Chloride (Chloromethane),"Methyl Chloroform (1,1,1-Trichloroethane)",Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),Methyl Methacrylate,Methylene Chloride (Dichloromethane),Naphthalene,Nickel,Nitrogen Oxides,Nitrous Oxide (N2O),o-Xylene,"Particulate Matter < 10 Microns, Filterable","Particulate Matter < 2.5 Microns, Filterable","Particulate Matter, Condensable",Phenol,Phosphorus,Phthalic Anhydride,Polycyclic Organic Matter,Propionaldehyde,Propylene Oxide,Selenium,Styrene,Sulfur Oxides,Sulfuric Acid,Tetrachloroethylene (Perchloroethylene),Toluene,Trichloroethylene,"Vinylidene Chloride (1,1-Dichloroethylene)",Volatile Organic Compounds,Xylenes (Isomers And Mixture),Grand Total
2017,120800,,,,,,,,,,,,0,,,,,31.27,,0.05,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0.15,0,,0.01,0.01,0,,,,,,,,,0.01,,,,3.96,,8.41,2.13,46
2017,140500,,,0.07,,,,,,,,,0,,,,,,,0.32,,,,,,,,,,,,,,,,,0.07,0.01,,,,,,,,,,,0.01,,,,,,,0.07,,0.39,,,0.01,0.01,0.02,,,,,,,,,0,,,,,,7.01,0.71,8.7
2017,191700,,,,,,,,,,,,0.03,,,0.1,,890.17,,0.96,,,,,,,,,,,,,,,,0.05,,0.02,,,,,,0.103,,,,,0.02,,0.03,,0.25,,,,,0.74,0,,23.13,12.69,0,0,,,,,,,,0.13,,,0.84,,,6.88,0.65,936.793
2017,240600,,,,,0,,,,,,,1.55,,,0,0,58354.56,,2.33,,,,,,0,,,,,,,,,,0.04,,0.88,,,,,,0.0002,,,0,,1.12,,,,,,,0,0,37.34,1.07,,0.12,0.07,0.16,,,,,,,,,0.29,,,0,,,4.01,0,58403.5402
2017,401200,,,,,,,,,,,,2.85,,,0,0,129295,,753.79,,,,,,0.73,,,,,,,,,,0,,0.53,,,0.63,,,0.0966,,,0.77,,2.06,,,,,,,,0.47,157.09,0.18,,55.89,52.29,22.39,,,,,,,,,22.08,0,,0,,,14.29,,130381.1366
2017,407001,,,,,,,,,,,,0,,,,,0,,0.08,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,1.51,,0,,0.09,0,,0,0,,,,,,,,,2.99,0,,,0.1,,,5.4,0.08,10.25
2017,413500,,,,,,,,,,,,0.04,,,0,0,9639.91,,6.92,,,,,,0,,,,,,,,,,,,0.14,,,,,,,,,,,0.17,,,,,,,,0,4.31,0.17,,3.53,3.53,0.02,,,,,,,,,0.05,,,0,,,0.46,,9659.25
2017,415001,,,,,,,0.11,,,,,,,,0.09,,10.87,,0.01,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,0,,,,,,,,,0.01,0,,0,0,0,,,,,,,,,0,,,0.2,,,18.64,0.07,30.24
2017,417200,,,,,,,,0.72,0.08,,,138.98,0,0.03,0.52,0,3182963.41,0.04,215.11,,,0.01,,0.02,0,0,,0.69,,0.01,,0.01,,,1.01,8.3,0.31,0,2.31,1.42,,3.03,0.0226,0,,0.03,0.0048,210.11,,0.15,0.01,0.74,0.01,0.08,0.46,0.04,1220.41,29.16,,129.92,74.88,89.21,0,,,0,0.11,0.4,0.07,0.01,2003.46,45.95,,4.03,,,111.66,7.42,3187264.357
2017,419000,,,,,,,,,,,,0.41,,,0.05,,17227.39,,31.32,,,,,,0,,,,,,,,,,0,,0.14,,0.02,0.04,,,0.0028,,,0.01,,7.1,,,,,,,0,0,17.62,0.05,0,5.61,1.82,2.08,,,,,,,0,,19.87,,,0,,,1.36,0,17314.8928
